AD,56256816,2
AF,56371471,10917227
AI,56206578,38799
AL,55767890,38818
AM,56458651,41855
AR,55684975,3269939
AS,55768078,66130
AT,727704,5275865
AU,55425481,10894282
AX,55547918,3220260
AZ,55768218,101639
BA,712927,103248
BB,56477845,103911
BD,55872043,106532
BE,56815341,107917
BG,503442,6197577
BH,56239014,3991749
BL,57547910,128007
BM,57547911,128024
BN,55872124,128115
BR,515406,3163663
BT,728802,209900
BY,56454186,210102
CA,514205,5557698
CC,55690434,243627
CH,55343079,5524144
CL,512749,289680
CN,678080,10169722
CO,56495288,12167700
CR,60545273,341531
CU,56498969,12198598
CV,55885008,11661637
CX,60545970,11977466
CY,513092,349644
CZ,710551,3955127
DE,56206662,5347691
DK,55406715,13127932
DO,56371689,5880465
DZ,55691019,12078284
EC,56499186,394816
EE,55770578,396157
EG,713001,3825489
ES,678055,411422
FI,50007805,3220181
FK,55767771,469272
FM,55895445,469314
FO,55406092,469348
FR,50007831,469725
GB,504227,4029775
GE,513097,11192937
