iso,id,parent_id,level,region_type,name_lang1,iso2,fips,nuts,hasc,stat
AL,20000477,20000476,1,AL11,Berat,AL-01,AL40,AL011,AL.BE,1
AT,20002297,20002296,1,AT11,Burgenland,AT-1,AU01,AT11,AT.BU,1
AX,20005176,20005175,1,AX11,Ahvenanmaa,FI-01,FI16,FI200,AX,20
BE,20006074,20006073,2,BE21,Anvers,BE-VAN,BE01,BE21,BE.AN,10000
BG,20007109,20007108,2,BG21,Blagoevgrad,BG-01,BU38,BG311,BG.BL,BGS
CH,20020500,20020499,1,CH11,Aargau,CH-AG,SZ01,CH011,CH.AG,1
CZ,20074737,20074736,1,CZ11,Hlavní m?sto Praha,CZ-10,EZ52,CZ010,CZ.BK,10
DE,20081109,20081108,1,DE11,Baden-Württemberg,DE-BB,GM01,DE1,DE.BB,1
DK,20085944,20085943,1,DK11,Hovedstaden,DK-81,DA17,DK01,DK.HS,1081
EE,20091308,20091307,1,EE11,Harju,EE-37,EN01,EE001,EE.HA,37
ES,20091998,20091997,1,ES11,Andalucía,ES-AN,SP07,ES11,ES.AN,1
FI,20101441,20101440,2,FI21,Etelä-Karjala,FI-02,FI17,FI193,FI.CF,1
FR,20101982,20101976,1,FR11,Auvergne-Rhône-Alpes,FR-ARA,FR97,FR1,FR.AC,11
GB,20102481,20102480,3,GB32,Bath and North East Somerset,GB-BAS,UKA4,UKC11,GB.BC,E06000001
GR,20106755,20106754,1,GR11,Attica,GR-A,GR53,EL30,GR.AN,111
HR,20108066,20108065,1,HR11,Bjelovarsko-Bilogorska,HR-01,HR01,HR031,HR.BB,1
IE,20117141,20117140,2,IE21,Carlow,IE-CE,EI01,IE041,IE.CE,1
LV,20137135,20137134,1,LV11,?dažu novads,LV-001,LG06,LV003,LV.AD,10000
NL,20149797,20149796,1,NL11,Drenthe,NL-DR,NL01,NL11,NL.DR,20
NO,20150274,20150203,1,NO11,Møre og Romsdal,NO-03,NO08,NO011,NO.MR,3
PL,20155766,20155765,1,PL11,Dolno?l?skie,PL-02,PL72,PL21,PL.DS,2
RO,20162576,20162575,2,RO21,Alba,RO-AB,RO01,RO111,RO.AB,10
SE,20170855,20170854,1,SE11,Blekinge,SE-AB,SW02,SE110,SE.BL,1
SK,20171430,20171429,1,SK11,Banskobystrický kraj,SK-BC,LO01,SK010,SK.BC,1
TR,20178763,20178762,2,TR21,Adana,TR-01,TU02,TR10,TR.AA,1
