UM,56257960,96898,POSTCODE
EE,55770562,10001,LOCALITY
TR,55200593,1010,LOCALITY
PE,54775458,1000,POSTCODE
PY,63972002,1001,POSTCODE
GF,51748764,97300,POSTCODE
GH,64180865,A2,POSTCODE
IR,710270,13,POSTCODE
HU,51753517,1007,LOCALITY
UA,678768,0,LOCALITY
BM,57547911,CR 01,POSTCODE
AT,727704,1000,LOCALITY
DE,56206662,1001,LOCALITY
EC,56499186,10101,POSTCODE
CL,512749,,LOCALITY
IN,52125550,110001,LOCALITY
UY,55256867,11000,POSTCODE
GB,504227,AB10 1AB,LOCALITY
IL,53681138,10135 01,LOCALITY
NF,54314395,2899,POSTCODE
MM,55986447,11011,LOCALITY
MD,54266157,2000,POSTCODE
RS,54998967,11000,LOCALITY
CO,56495288,50001,POSTCODE
BE,56751279,1000,LOCALITY
PF,54778010,98701,POSTCODE
PH,54778140,400,LOCALITY
BY,56454186,202115,LOCALITY
LS,55888138,100,POSTCODE
NZ,514771,110,LOCALITY
IO,55970247,BBND 1ZZ,POSTCODE
BA,712927,70000,LOCALITY
GT,51752024,1001,LOCALITY
AF,56371471,0,POSTCODE
MQ,54268285,97200,POSTCODE
CR,60545273,10101,POSTCODE
CX,60545970,6798,POSTCODE
TJ,64181082,734000,LOCALITY
VA,55256992,120,POSTCODE
NG,55890497,20261,LOCALITY
MC,54266156,98000,POSTCODE
GL,55690435,2412,LOCALITY
ME,54267281,81000,LOCALITY
PG,54778081,111,POSTCODE
SE,727709,100 04,LOCALITY
WF,55257560,98600,POSTCODE
GU,51752549,96910,LOCALITY
VC,55256993,VC0100,LOCALITY
CZ,710551,100 00,POSTCODE
MA,54265811,10000,LOCALITY
